date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-28 04:37:43,realDonaldTrump,thehill,3338,9496,38920,"So nice!",,,,1233249900927868929,https://twitter.com/realDonaldTrump/status/1233249900927868929
2020-02-28 03:16:28,realDonaldTrump,,7996,14192,71918,"Word is that Mini Mike Bloomberg performed so poorly in the two debates, that he is thinking about dropping out of the Democrat Primary. The fact is, he was not true to himself, and the public was able to quickly figure him out. Not a good experience for Mini Mike!",,,,1233229450881445889,https://twitter.com/realDonaldTrump/status/1233229450881445889
2020-02-27 06:02:56,realDonaldTrump,Jim_Jordan,17486,27607,99661,"They spied on my campaign!",,,,1232908958421131264,https://twitter.com/realDonaldTrump/status/1232908958421131264
2020-02-26 19:02:15,realDonaldTrump,DeAnna4Congress,9233,27836,88215,"Nancy has allowed her District to go down more than any other in the USA! Hardly even recognizable.",,,,1232742691965980673,https://twitter.com/realDonaldTrump/status/1232742691965980673
2020-02-26 16:20:43,realDonaldTrump,DiamondandSilk,5331,20574,99901,"My two great friends. Proud of you both!",,,,1232702038208851968,https://twitter.com/realDonaldTrump/status/1232702038208851968
2020-02-26 13:51:13,realDonaldTrump,,9241,18289,88952,"Big Rally in the Great State of South Carolina on Friday. See you there!",,,,1232664415637471234,https://twitter.com/realDonaldTrump/status/1232664415637471234
2020-02-26 13:35:32,realDonaldTrump,GOPChairwoman,3349,18501,61033,"Big Story, Big Win - Except in the Fake News, which won’t cover it!",,,,1232660469082664962,https://twitter.com/realDonaldTrump/status/1232660469082664962
2020-02-26 07:19:49,realDonaldTrump,,4579,11276,53955,"“U.S. acted on the Coronavirus very, very quickly.” Gordon Chang @IngrahamAngle",,@IngrahamAngle,,1232565919043317761,https://twitter.com/realDonaldTrump/status/1232565919043317761
2020-02-25 22:36:02,realDonaldTrump,TVNewsHQ,7709,13103,52733,"That is because they cover your favorite President relatively well. @CNN &amp; MSDNC are dying in the ratings!",,@CNN,,1232434103229640704,https://twitter.com/realDonaldTrump/status/1232434103229640704
2020-02-25 22:00:07,realDonaldTrump,jaketapper,3025,12606,52013,"No surprise!",,,,1232425065058164736,https://twitter.com/realDonaldTrump/status/1232425065058164736
